Set	Line	KO	Gene	Sign
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	PTGS1	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	4933431E20RIK	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	TWIST2	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	FUT8	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	SP100	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	SLCO1A5	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	LTBP2	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	NPPB	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	ZFP703	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	PKP3	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	UPP1	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	OLFM1	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	TPH2	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	CXCL12	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	NT5E	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	ZFP275	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	PDE5A	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	HR	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	CD34	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	FAM188B	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	CNGB1	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	ANKRD1	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	GFRA2	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	STAB1	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	TMEM176A	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	RPS6KA3	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	CYFIP2	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	EIF4E3	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	NEDD4L	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	RAB9	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	SLC24A3	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	SELE	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	EFNB2	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	SCAND1	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	PELI2	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	PDK1	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	MID2	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	MGAT3	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	NUDT12	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	ARHGEF3	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	OFD1	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	GHR	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	MSL3	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	B230312C02RIK	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	ST3GAL1	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	UBL4A	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	HC	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	ANK	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	NAA10	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	TBPL1	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	D630045J12RIK	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	WDFY4	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	TFPI	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	MED23	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	MECOM	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	TNFRSF23	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	CES1F	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	BCAP31	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	PRKCB	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	DNAJB4	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	GLIPR1	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	CDC40	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	PKIA	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	CD37	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	ARHGAP31	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	ZRSR2	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	DKK2	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	ST6GALNAC4	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	GM867	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	COMT	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	EPHB4	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	NEK6	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	MAPT	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	EVA1C	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	TNC	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	EIF1AX	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	BAMBI	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	KCNMA1	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	AHI1	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	CITED2	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	A530032D15RIK	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	FAM149A	1
